[ControlPoint]
2
1,V,31250.2500,11500.4100
2,V,33256.5700,10900.8400
[UnkonwnPoint]
3
3,4,5
[DistObs]
8
1,3,2300.0600
1,4,3090.3530
2,5,3643.2340
2,3,2115.9190
2,4,4363.6110
3,5,2169.0730
3,4,2620.9090
4,5,3922.8600
[BearingObs]
5,18
1,3
2,0.000000
3,57.203210
4,113.140635
2,4
5,0.000000
3,32.122292
4,57.501530
1,98.261273
3,4
1,0.000000
2,56.253779
5,172.533944
4,282.295383
4,4
1,0.000000
2,26.095412
3,46.361798
5,77.594671
5,3
4,0.000000
3,39.001779
2,70.195151
